start,end,ngram,term,cui,similarity,semtypes,preferred,elem_id,source_filename
77,86,dysgeusia,dysgeusia,C0013378,1.0,{'T033'},0,3,PMC12433365.txt
88,97,dysphagia,dysphagia,C0011168,1.0,{'T047'},0,3,PMC12433365.txt
289,298,therapies,therapies,C0087111,1.0,{'T061'},0,3,PMC12433365.txt
386,395,Treatment,Treatment,C1533734,1.0,{'T061'},1,3,PMC12433365.txt
386,395,Treatment,Treatment,C0087111,1.0,{'T061'},0,3,PMC12433365.txt
411,420,dysgeusia,dysgeusia,C0013378,1.0,{'T033'},0,3,PMC12433365.txt
203,211,symptoms,symptoms,C1457887,1.0,{'T184'},0,3,PMC12433365.txt
221,229,steroids,steroids,C0038317,1.0,"{'T109', 'T121'}",0,3,PMC12433365.txt
356,364,employed,employed,C0557351,1.0,{'T033'},0,3,PMC12433365.txt
440,447,symptom,symptom,C1457887,1.0,{'T184'},0,3,PMC12433365.txt
12,16,Oral,Oral,C4521986,1.0,{'T033'},1,3,PMC12433365.txt
465,468,CPS,cps,C0149958,1.0,{'T047'},0,3,PMC12433365.txt
60,73,immunotherapy,immunotherapy,C0021083,1.0,{'T061'},0,4,PMC12433365.txt
261,272,oral health,oral health,C0029162,1.0,{'T033'},0,4,PMC12433365.txt
19,29,management,management,C0376636,1.0,{'T058'},1,4,PMC12433365.txt
38,48,toxicities,toxicities,C0600688,1.0,{'T037'},1,4,PMC12433365.txt
106,116,discomfort,discomfort,C2364135,1.0,{'T184'},0,4,PMC12433365.txt
169,179,management,management,C0376636,1.0,{'T058'},1,4,PMC12433365.txt
180,189,practices,practices,C0237607,1.0,{'T041'},1,4,PMC12433365.txt
77,85,intended,intended,C1551357,1.0,{'T033'},1,4,PMC12433365.txt
151,159,function,function,C0031843,1.0,{'T039'},1,4,PMC12433365.txt
126,133,healing,healing,C0043240,1.0,{'T040'},1,4,PMC12433365.txt
4,29,Supplementary Information,Supplementary Information,C2936424,1.0,{'T170'},1,5,PMC12433365.txt
41,48,version,version,C0333052,1.0,{'T170'},1,5,PMC12433365.txt
1046,1078,activation of immune response,activation of immune response,C1817421,1.0,{'T040'},1,6,PMC12433365.txt
1149,1173,hematologic malignancies,hematologic malignancies,C0376545,1.0,{'T191'},1,6,PMC12433365.txt
1115,1136,monoclonal antibodies,monoclonal antibodies,C3542957,1.0,"{'T129', 'T121', 'T116'}",1,6,PMC12433365.txt
2379,2397,oral complications,oral complications,C3898092,1.0,{'T046'},1,6,PMC12433365.txt
858,874,immunomodulators,immunomodulators,C0001551,1.0,"{'T129', 'T121'}",1,6,PMC12433365.txt
947,963,targeted therapy,targeted therapy,C2985566,1.0,{'T061'},1,6,PMC12433365.txt
1505,1521,cancer treatment,cancer treatment,C0920425,1.0,{'T061'},1,6,PMC12433365.txt
450,465,cancer vaccines,cancer vaccines,C0376659,1.0,"{'T129', 'T121', 'T116'}",1,6,PMC12433365.txt
1463,1478,adverse effects,adverse effects,C0879626,1.0,{'T046'},1,6,PMC12433365.txt
1611,1626,Supportive Care,Supportive Care,C0030231,1.0,{'T061'},1,6,PMC12433365.txt
1611,1626,Supportive Care,Supportive Care,C0344211,1.0,{'T058'},1,6,PMC12433365.txt
629,643,tumor necrosis,tumor necrosis,C0333516,1.0,{'T191'},1,6,PMC12433365.txt
1385,1399,cancer therapy,cancer therapy,C0920425,1.0,{'T061'},0,6,PMC12433365.txt
1933,1947,cancer therapy,cancer therapy,C0920425,1.0,{'T061'},0,6,PMC12433365.txt
2241,2255,considerations,considerations,C0518609,1.0,{'T033'},1,6,PMC12433365.txt
2456,2470,cancer therapy,cancer therapy,C0920425,1.0,{'T061'},0,6,PMC12433365.txt
36,49,immunotherapy,immunotherapy,C0021083,1.0,{'T061'},0,6,PMC12433365.txt
349,362,immunotherapy,immunotherapy,C0021083,1.0,{'T061'},0,6,PMC12433365.txt
706,719,Interleukin-2,Interleukin-2,C1522405,1.0,"{'T129', 'T121', 'T116'}",1,6,PMC12433365.txt
817,830,immunotherapy,immunotherapy,C0021083,1.0,{'T061'},0,6,PMC12433365.txt
1274,1287,immunotherapy,immunotherapy,C0021083,1.0,{'T061'},0,6,PMC12433365.txt
932,944,lenalidomide,lenalidomide,C1144149,1.0,"{'T109', 'T121'}",0,6,PMC12433365.txt
1844,1856,oral mucosal,oral mucosal,C0026639,1.0,{'T023'},1,6,PMC12433365.txt
1097,1108,trastuzumab,trastuzumab,C0728747,1.0,"{'T129', 'T121', 'T116'}",0,6,PMC12433365.txt
1251,1262,daratumumab,daratumumab,C2346801,1.0,"{'T129', 'T121', 'T116'}",0,6,PMC12433365.txt
1596,1607,Association,Association,C0596306,1.0,{'T067'},1,6,PMC12433365.txt
1596,1607,Association,Association,C0004083,1.0,{'T041'},0,6,PMC12433365.txt
560,570,antibodies,antibodies,C3495458,1.0,"{'T129', 'T121'}",1,6,PMC12433365.txt
560,570,antibodies,antibodies,C0003241,1.0,"{'T129', 'T121', 'T116'}",0,6,PMC12433365.txt
694,704,interferon,interferon,C3652465,1.0,"{'T129', 'T121', 'T116'}",1,6,PMC12433365.txt
806,816,commercial,commercial,C0680536,1.0,{'T170'},0,6,PMC12433365.txt
1288,1298,categories,categories,C0683312,1.0,{'T170'},0,6,PMC12433365.txt
1415,1425,evaluation,evaluation,C1261322,1.0,{'T058'},1,6,PMC12433365.txt
1415,1425,evaluation,evaluation,C0220825,1.0,{'T058'},0,6,PMC12433365.txt
1427,1437,prevention,prevention,C0199176,1.0,{'T061'},0,6,PMC12433365.txt
1783,1793,management,management,C0376636,1.0,{'T058'},1,6,PMC12433365.txt
1948,1958,toxicities,toxicities,C0600688,1.0,{'T037'},1,6,PMC12433365.txt
2042,2052,literature,literature,C0023866,1.0,{'T170'},0,6,PMC12433365.txt
2077,2087,experience,experience,C0237607,1.0,{'T041'},1,6,PMC12433365.txt
2077,2087,experience,experience,C0596545,1.0,{'T041'},0,6,PMC12433365.txt
2176,2186,management,management,C0376636,1.0,{'T058'},1,6,PMC12433365.txt
1086,1095,cetuximab,cetuximab,C0995188,1.0,"{'T129', 'T121', 'T116'}",0,6,PMC12433365.txt
1240,1249,rituximab,rituximab,C0393022,1.0,"{'T129', 'T121', 'T116'}",0,6,PMC12433365.txt
1450,1459,treatment,treatment,C0087111,1.0,{'T061'},1,6,PMC12433365.txt
1450,1459,treatment,treatment,C3887704,1.0,{'T058'},1,6,PMC12433365.txt
1546,1555,Oral Care,Oral Care,C1272386,1.0,{'T058'},1,6,PMC12433365.txt
2439,2448,unrelated,unrelated,C0445356,1.0,{'T033'},1,6,PMC12433365.txt
197,205,negative,negative,C0205160,1.0,{'T033'},1,6,PMC12433365.txt
206,214,cellular,cellular,C0178539,1.0,{'T059'},1,6,PMC12433365.txt
337,345,strategy,strategy,C0679199,1.0,{'T041'},0,6,PMC12433365.txt
429,437,strategy,strategy,C0679199,1.0,{'T041'},0,6,PMC12433365.txt
1027,1035,antibody,antibody,C0003241,1.0,"{'T129', 'T121', 'T116'}",0,6,PMC12433365.txt
1137,1145,employed,employed,C0557351,1.0,{'T033'},0,6,PMC12433365.txt
1683,1691,Oncology,Oncology,C0027651,1.0,{'T191'},1,6,PMC12433365.txt
1683,1691,Oncology,Oncology,C1555459,1.0,{'T058'},1,6,PMC12433365.txt
1713,1721,Clinical,Clinical,C1315013,1.0,{'T170'},1,6,PMC12433365.txt
1722,1730,Practice,Practice,C0237607,1.0,{'T041'},1,6,PMC12433365.txt
1921,1929,diseases,diseases,C0012634,1.0,{'T047'},1,6,PMC12433365.txt
2118,2126,diseases,diseases,C0012634,1.0,{'T047'},1,6,PMC12433365.txt
2265,2273,specific,specific,C1552740,1.0,{'T170'},1,6,PMC12433365.txt
2324,2332,intended,intended,C1551357,1.0,{'T033'},1,6,PMC12433365.txt
2430,2438,diseases,diseases,C0012634,1.0,{'T047'},1,6,PMC12433365.txt
363,370,employs,employs,C0557351,1.0,{'T033'},1,6,PMC12433365.txt
501,508,vaccine,vaccine,C0042210,1.0,"{'T129', 'T121', 'T116'}",0,6,PMC12433365.txt
540,547,Vaccine,Vaccine,C5399710,1.0,{'T121'},1,6,PMC12433365.txt
540,547,Vaccine,Vaccine,C0042210,1.0,"{'T129', 'T121', 'T116'}",0,6,PMC12433365.txt
1198,1205,disease,disease,C0012634,1.0,{'T047'},0,6,PMC12433365.txt
1768,1775,summary,summary,C1552616,1.0,{'T170'},1,6,PMC12433365.txt
2492,2499,present,present,C0150312,1.0,{'T033'},1,6,PMC12433365.txt
173,179,cancer,cancer,C0006826,1.0,{'T191'},0,6,PMC12433365.txt
238,244,immune,immune,C0439662,1.0,{'T033'},1,6,PMC12433365.txt
299,305,attack,attack,C1304680,1.0,{'T033'},1,6,PMC12433365.txt
1219,1225,immune,immune,C0439662,1.0,{'T033'},1,6,PMC12433365.txt
1333,1339,severe,severe,C0205082,1.0,{'T033'},1,6,PMC12433365.txt
1630,1636,Cancer,Cancer,C1306459,1.0,{'T191'},1,6,PMC12433365.txt
1630,1636,Cancer,Cancer,C0006826,1.0,{'T191'},0,6,PMC12433365.txt
1900,1906,immune,immune,C0439662,1.0,{'T033'},1,6,PMC12433365.txt
2106,2112,common,common,C3245511,1.0,{'T170'},1,6,PMC12433365.txt
2401,2407,cancer,cancer,C0006826,1.0,{'T191'},0,6,PMC12433365.txt
264,269,tumor,tumor,C0027651,1.0,{'T191'},0,6,PMC12433365.txt
309,314,tumor,tumor,C0027651,1.0,{'T191'},0,6,PMC12433365.txt
790,795,Other,Other,C0700060,1.0,{'T058'},1,6,PMC12433365.txt
790,795,Other,Other,C0700062,1.0,{'T058'},1,6,PMC12433365.txt
790,795,Other,Other,C0700063,1.0,{'T058'},1,6,PMC12433365.txt
790,795,Other,Other,C1546725,1.0,{'T170'},1,6,PMC12433365.txt
790,795,Other,Other,C1546836,1.0,{'T170'},1,6,PMC12433365.txt
790,795,Other,Other,C1546840,1.0,{'T170'},1,6,PMC12433365.txt
790,795,Other,Other,C1546930,1.0,{'T033'},1,6,PMC12433365.txt
790,795,Other,Other,C1547233,1.0,{'T170'},1,6,PMC12433365.txt
790,795,Other,Other,C1547241,1.0,{'T170'},1,6,PMC12433365.txt
790,795,Other,Other,C1547267,1.0,{'T170'},1,6,PMC12433365.txt
790,795,Other,Other,C1547272,1.0,{'T170'},1,6,PMC12433365.txt
790,795,Other,Other,C1547281,1.0,{'T170'},1,6,PMC12433365.txt
790,795,Other,Other,C1547292,1.0,{'T170'},1,6,PMC12433365.txt
790,795,Other,Other,C1547304,1.0,{'T170'},1,6,PMC12433365.txt
790,795,Other,Other,C1547309,1.0,{'T170'},1,6,PMC12433365.txt
790,795,Other,Other,C1547994,1.0,{'T170'},1,6,PMC12433365.txt
790,795,Other,Other,C1549063,1.0,{'T170'},1,6,PMC12433365.txt
790,795,Other,Other,C1549110,1.0,{'T033'},1,6,PMC12433365.txt
790,795,Other,Other,C1556055,1.0,{'T033'},1,6,PMC12433365.txt
790,795,Other,Other,C1561608,1.0,{'T170'},1,6,PMC12433365.txt
790,795,Other,Other,C1868670,1.0,{'T201'},1,6,PMC12433365.txt
790,795,Other,Other,C2598149,1.0,{'T201'},1,6,PMC12433365.txt
790,795,Other,Other,C5202885,1.0,{'T033'},1,6,PMC12433365.txt
1309,1314,Table,Table,C1706074,1.0,{'T170'},0,6,PMC12433365.txt
1556,1561,Study,Study,C1705923,1.0,{'T170'},1,6,PMC12433365.txt
1562,1567,Group,Group,C1561557,1.0,{'T031'},1,6,PMC12433365.txt
1867,1872,mimic,mimic,C0393040,1.0,{'T061'},1,6,PMC12433365.txt
3,7,Body,Body,C1551342,1.0,{'T170'},1,6,PMC12433365.txt
1315,1319,Oral,Oral,C4521986,1.0,{'T033'},1,6,PMC12433365.txt
1678,1682,Oral,Oral,C4521986,1.0,{'T033'},1,6,PMC12433365.txt
1981,1985,used,used,C1273517,1.0,{'T033'},1,6,PMC12433365.txt
1742,1745,CPS,cps,C0149958,1.0,{'T047'},0,6,PMC12433365.txt
2148,2151,CPS,cps,C0149958,1.0,{'T047'},0,6,PMC12433365.txt
2313,2316,CPS,cps,C0149958,1.0,{'T047'},0,6,PMC12433365.txt
163,181,oral complications,oral complications,C3898092,1.0,{'T046'},1,7,PMC12433365.txt
93,103,management,management,C0376636,1.0,{'T058'},1,7,PMC12433365.txt
4,13,Objective,Objective,C1301317,1.0,{'T060'},1,7,PMC12433365.txt
4,13,Objective,Objective,C2979883,1.0,{'T201'},1,7,PMC12433365.txt
4,13,Objective,Objective,C0018017,1.0,{'T170'},0,7,PMC12433365.txt
148,152,care,care,C0580931,1.0,{'T033'},1,7,PMC12433365.txt
19,22,CPS,cps,C0149958,1.0,{'T047'},0,7,PMC12433365.txt
111,135,review of literature,review of literature,C0282441,1.0,{'T170'},1,8,PMC12433365.txt
202,212,literature,literature,C0023866,1.0,{'T170'},0,8,PMC12433365.txt
137,143,PubMed,PubMed,C1138432,1.0,{'T170'},0,8,PMC12433365.txt
249,254,names,names,C0027365,1.0,{'T170'},1,8,PMC12433365.txt
258,263,drugs,drugs,C0013227,1.0,{'T121'},1,8,PMC12433365.txt
292,297,Table,Table,C1706074,1.0,{'T170'},0,8,PMC12433365.txt
17,20,CPS,cps,C0149958,1.0,{'T047'},0,8,PMC12433365.txt
1722,1750,randomized controlled trials,randomized controlled trials,C0282440,1.0,{'T170'},1,9,PMC12433365.txt
2549,2575,maintain good oral hygiene,maintain good oral hygiene,C2957412,1.0,{'T061'},1,9,PMC12433365.txt
36,59,oral lichenoid reaction,oral lichenoid reaction,C0399498,1.0,{'T046'},1,9,PMC12433365.txt
106,129,oral lichenoid reaction,oral lichenoid reaction,C0399498,1.0,{'T046'},1,9,PMC12433365.txt
2331,2354,intralesional injection,intralesional injection,C0021490,1.0,{'T061'},1,9,PMC12433365.txt
293,312,associated symptoms,associated symptoms,C0521989,1.0,{'T184'},1,9,PMC12433365.txt
17,35,Oral lichen planus,Oral lichen planus,C0206139,1.0,{'T047'},0,9,PMC12433365.txt
78,96,oral lichen planus,oral lichen planus,C0206139,1.0,{'T047'},0,9,PMC12433365.txt
806,824,topical tacrolimus,topical tacrolimus,C0939241,1.0,{'T200'},0,9,PMC12433365.txt
342,358,topical steroids,topical steroids,C2064827,1.0,"{'T109', 'T121'}",1,9,PMC12433365.txt
522,538,topical steroids,topical steroids,C2064827,1.0,"{'T109', 'T121'}",1,9,PMC12433365.txt
1338,1354,local anesthetic,local anesthetic,C0002921,1.0,{'T061'},0,9,PMC12433365.txt
1338,1354,local anesthetic,local anesthetic,C0002934,1.0,"{'T109', 'T121'}",0,9,PMC12433365.txt
2313,2329,topical steroids,topical steroids,C2064827,1.0,"{'T109', 'T121'}",1,9,PMC12433365.txt
1283,1298,pain management,pain management,C0002766,1.0,{'T061'},0,9,PMC12433365.txt
1385,1400,diphenhydramine,diphenhydramine,C0012522,1.0,"{'T109', 'T121'}",0,9,PMC12433365.txt
1456,1471,pain management,pain management,C0002766,1.0,{'T061'},0,9,PMC12433365.txt
1560,1575,pain management,pain management,C0002766,1.0,{'T061'},0,9,PMC12433365.txt
1828,1843,pain management,pain management,C0002766,1.0,{'T061'},0,9,PMC12433365.txt
2358,2373,corticosteroids,corticosteroids,C0001617,1.0,"{'T109', 'T121', 'T125'}",0,9,PMC12433365.txt
3088,3103,mucosal disease,mucosal disease,C0151785,1.0,{'T047'},1,9,PMC12433365.txt
3270,3285,mucosal disease,mucosal disease,C0151785,1.0,{'T047'},1,9,PMC12433365.txt
1789,1803,oral mucositis,oral mucositis,C0038362,1.0,{'T047'},1,9,PMC12433365.txt
2942,2956,transformation,transformation,C1554215,1.0,{'T170'},1,9,PMC12433365.txt
566,579,dexamethasone,dexamethasone,C0011777,1.0,"{'T109', 'T121'}",0,9,PMC12433365.txt
1847,1860,immunotherapy,immunotherapy,C0021083,1.0,{'T061'},0,9,PMC12433365.txt
2715,2728,immunotherapy,immunotherapy,C0021083,1.0,{'T061'},0,9,PMC12433365.txt
2886,2899,immunotherapy,immunotherapy,C0021083,1.0,{'T061'},0,9,PMC12433365.txt
3126,3139,immunotherapy,immunotherapy,C0021083,1.0,{'T061'},0,9,PMC12433365.txt
3203,3216,immunotherapy,immunotherapy,C0021083,1.0,{'T061'},0,9,PMC12433365.txt
3371,3384,immunotherapy,immunotherapy,C0021083,1.0,{'T061'},0,9,PMC12433365.txt
752,764,pimecrolimus,pimecrolimus,C1099414,1.0,"{'T109', 'T121'}",0,9,PMC12433365.txt
829,841,pimecrolimus,pimecrolimus,C1099414,1.0,"{'T109', 'T121'}",0,9,PMC12433365.txt
868,880,malignancies,malignancies,C0006826,1.0,{'T191'},0,9,PMC12433365.txt
887,899,malignancies,malignancies,C0006826,1.0,{'T191'},0,9,PMC12433365.txt
1234,1246,oral mucosal,oral mucosal,C0026639,1.0,{'T023'},1,9,PMC12433365.txt
1247,1259,malignancies,malignancies,C0006826,1.0,{'T191'},0,9,PMC12433365.txt
1772,1784,relieve pain,relieve pain,C0722425,1.0,"{'T109', 'T121'}",1,9,PMC12433365.txt
2658,2670,inflammation,inflammation,C0021368,1.0,{'T046'},0,9,PMC12433365.txt
3308,3320,oral mucosal,oral mucosal,C0026639,1.0,{'T023'},1,9,PMC12433365.txt
174,185,ulcerations,ulcerations,C0041582,1.0,{'T046'},1,9,PMC12433365.txt
412,423,adjustments,adjustments,C2945673,1.0,{'T061'},1,9,PMC12433365.txt
1099,1110,application,application,C0185125,1.0,{'T061'},1,9,PMC12433365.txt
1175,1186,application,application,C0185125,1.0,{'T061'},1,9,PMC12433365.txt
1217,1228,association,association,C0004083,1.0,{'T041'},1,9,PMC12433365.txt
3111,3122,exacerbated,exacerbated,C0436331,1.0,{'T033'},1,9,PMC12433365.txt
64,74,management,management,C0376636,1.0,{'T058'},1,9,PMC12433365.txt
543,553,clobetasol,clobetasol,C0008992,1.0,"{'T109', 'T121'}",0,9,PMC12433365.txt
725,735,tacrolimus,tacrolimus,C0519826,1.0,{'T059'},1,9,PMC12433365.txt
725,735,tacrolimus,tacrolimus,C0085149,1.0,"{'T109', 'T121'}",0,9,PMC12433365.txt
1420,1430,analgesics,analgesics,C0002771,1.0,"{'T109', 'T131', 'T121'}",0,9,PMC12433365.txt
2252,2262,medication,medication,C0013227,1.0,{'T121'},1,9,PMC12433365.txt
2252,2262,medication,medication,C3244316,1.0,{'T170'},1,9,PMC12433365.txt
2278,2288,ulcerative,ulcerative,C0041582,1.0,{'T046'},1,9,PMC12433365.txt
2597,2607,infections,infections,C3714514,1.0,{'T046'},1,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C0028708,1.0,{'T060'},1,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C0031809,1.0,{'T058'},1,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C0220825,1.0,{'T058'},1,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C0542573,1.0,{'T058'},1,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C0549068,1.0,{'T058'},1,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C0549070,1.0,{'T058'},1,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C0549071,1.0,{'T058'},1,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C0549072,1.0,{'T058'},1,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C0549073,1.0,{'T058'},1,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C0549074,1.0,{'T058'},1,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C0549075,1.0,{'T058'},1,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C0549076,1.0,{'T058'},1,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C0549078,1.0,{'T058'},1,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C0549079,1.0,{'T058'},1,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C0549080,1.0,{'T058'},1,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C1161151,1.0,{'T058'},1,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C1261322,1.0,{'T058'},0,9,PMC12433365.txt
3141,3151,Assessment,Assessment,C2237115,1.0,{'T060'},0,9,PMC12433365.txt
3185,3195,initiation,initiation,C0589507,1.0,{'T041'},1,9,PMC12433365.txt
229,238,treatment,treatment,C0087111,1.0,{'T061'},1,9,PMC12433365.txt
229,238,treatment,treatment,C3887704,1.0,{'T058'},1,9,PMC12433365.txt
329,338,treatment,treatment,C0087111,1.0,{'T061'},1,9,PMC12433365.txt
329,338,treatment,treatment,C3887704,1.0,{'T058'},1,9,PMC12433365.txt
1371,1380,lidocaine,lidocaine,C0023660,1.0,"{'T109', 'T121'}",0,9,PMC12433365.txt
1615,1624,protocols,protocols,C0442711,1.0,{'T170'},1,9,PMC12433365.txt
1757,1766,protocols,protocols,C0442711,1.0,{'T170'},1,9,PMC12433365.txt
2438,2447,soft diet,soft diet,C0301569,1.0,{'T061'},0,9,PMC12433365.txt
2587,2596,secondary,secondary,C0027627,1.0,{'T191'},1,9,PMC12433365.txt
2963,2972,treatment,treatment,C0087111,1.0,{'T061'},1,9,PMC12433365.txt
2963,2972,treatment,treatment,C3887704,1.0,{'T058'},1,9,PMC12433365.txt
3334,3343,treatment,treatment,C0087111,1.0,{'T061'},1,9,PMC12433365.txt
3334,3343,treatment,treatment,C3887704,1.0,{'T058'},1,9,PMC12433365.txt
3430,3439,education,education,C0424927,1.0,{'T033'},1,9,PMC12433365.txt
190,198,erosions,erosions,C0333307,1.0,{'T047'},1,9,PMC12433365.txt
904,912,lymphoma,lymphoma,C0024299,1.0,{'T191'},0,9,PMC12433365.txt
918,926,reported,reported,C0700287,1.0,{'T058'},1,9,PMC12433365.txt
1960,1968,location,location,C1555588,1.0,{'T170'},1,9,PMC12433365.txt
2394,2402,strategy,strategy,C0679199,1.0,{'T041'},0,9,PMC12433365.txt
203,210,present,present,C0150312,1.0,{'T033'},1,9,PMC12433365.txt
268,275,disease,disease,C0012634,1.0,{'T047'},0,9,PMC12433365.txt
468,475,steroid,steroid,C0038317,1.0,"{'T109', 'T121'}",0,9,PMC12433365.txt
615,622,steroid,steroid,C0038317,1.0,"{'T109', 'T121'}",0,9,PMC12433365.txt
1472,1479,options,options,C0683525,1.0,{'T033'},1,9,PMC12433365.txt
1693,1700,setting,setting,C0542559,1.0,{'T041'},0,9,PMC12433365.txt
2011,2018,lesions,lesions,C0221198,1.0,{'T033'},1,9,PMC12433365.txt
2087,2094,lesions,lesions,C0221198,1.0,{'T033'},1,9,PMC12433365.txt
2103,2110,steroid,steroid,C0038317,1.0,"{'T109', 'T121'}",0,9,PMC12433365.txt
2197,2204,contact,contact,C0392367,1.0,{'T067'},1,9,PMC12433365.txt
2197,2204,contact,contact,C3245509,1.0,{'T170'},1,9,PMC12433365.txt
2616,2623,lesions,lesions,C0221198,1.0,{'T033'},1,9,PMC12433365.txt
